Question,en,es,fr
What activity is the girl in pink engaged in?,She is playing a game with a motion controller.,Está jugando un videojuego.,Elle joue à un jeu vidéo.
How many children are visible in the image?,Five children are visible in the image.,Hay cinco niños visibles.,Il y a cinq enfants.
What is the man on the couch holding?,He is holding a young child.,Está sosteniendo a un niño pequeño.,Il tient un enfant.
How many people are sitting on the couch?,Two people are sitting on the couch.,Hay dos personas sentadas en el sofá.,Deux personnes sont assises sur le canapé.
What type of game console is the girl in pink using?,She is using a console with a motion controller (likely a Wii).,Está usando una consola Wii (control de Wii visible).,Elle utilise une console Wii.
What color is the shirt of the boy standing on the right?,The boy on the right is wearing a blue shirt.,Es de color azul con blanco.,La chemise est bleue.
What emotion does the girl in pink seem to be expressing?,She seems to be concentrating or focused.,Parece estar concentrada o emocionada.,Elle semble concentrée.
Are there any objects on the windowsill?,"Yes, there are objects on the windowsill.","Sí, hay objetos visibles en el alféizar de la ventana.","Oui, il y a des objets sur le rebord de la fenêtre."
What is the approximate age group of the children in the photo?,They appear to be in the range of young children (around 3–10 years old).,Aproximadamente niños pequeños o de primaria.,Ils sont dans le groupe d'âge des jeunes enfants.
How many people are in the background of the image?,Two people are in the background.,Hay dos personas en el fondo.,Il y a deux personnes à l’arrière-plan.
What color is the couch in the image?,The couch is beige.,Es de color beige.,Le canapé est beige.
"What is the girl in black holding, if anything?",She does not appear to be holding anything.,No parece estar sosteniendo nada.,Elle ne tient rien.
Is the image taken during daytime or nighttime?,The image appears to be taken during nighttime.,Fue tomada de noche.,Elle a été prise la nuit.
Are there any visible decorations in the room?,No significant decorations are visible in the room.,No hay decoraciones evidentes.,"Non, il n’y a pas de décorations visibles."
What floor material is visible in the room?,The floor is made of wood.,El piso es de madera.,Le sol est en bois.
What is the position of the man on the couch?,He is sitting with his legs crossed.,Está sentado y sosteniendo a un niño.,Il est assis.
Is there a visible TV or gaming screen in the photo?,No visible TV or gaming screen is in the photo.,No hay una pantalla visible.,"Non, un écran n’est pas visible."
What is the girl in pink standing on?,She is standing on the wooden floor.,Está parada en el piso.,Elle est debout sur le sol.
How many people are interacting with each other in the image?,There appear to be no direct interactions happening.,No parece haber interacción entre las personas.,Deux personnes interagissent.
What objects can be seen on the floor?,A motion controller cord and some fabric (possibly a blanket or toy).,Hay un cable en el piso.,On peut voir une télécommande et une couverture sur le sol.
What activity is the girl in pink engaged in?,She is playing a video game using a motion controller.,Está jugando videojuegos.,Elle joue à un jeu vidéo.
How many children are visible in the image?,Five children are visible.,Hay cinco niños visibles.,Il y a cinq enfants.
What is the man on the couch holding?,He is holding a young child.,Está sosteniendo a un niño pequeño.,Il tient une petite fille dans ses bras.
How many people are sitting on the couch?,Two people are sitting on the couch.,Hay dos personas sentadas en el sofá.,Deux personnes sont assises sur le canapé.
What type of game console is the girl in pink using?,"She is using a motion-based gaming console, likely a Wii.",Está usando una consola Wii.,Elle utilise une console Wii.
What color is the shirt of the boy standing on the right?,The boy is wearing a blue shirt.,Es azul con blanco.,La chemise est bleue.
What emotion does the girl in pink seem to be expressing?,She appears to be focused or concentrated.,Parece estar concentrada o emocionada.,Elle semble concentrée ou déterminée.
Are there any objects on the windowsill?,"Yes, there are objects on the windowsill.","Sí, hay objetos en el alféizar de la ventana.","Oui, il y a des objets sur le rebord de la fenêtre."
What is the approximate age group of the children in the photo?,The children appear to be between 3 and 10 years old.,"Son niños pequeños, aproximadamente en edad preescolar o primaria.",Ils sont dans le groupe d'âge des jeunes enfants.
How many people are in the background of the image?,Two people are in the background.,Hay dos personas en el fondo.,Il y a deux personnes à l’arrière-plan.
What color is the couch in the image?,The couch is beige.,Es de color beige.,Le canapé est beige.
"What is the girl in black holding, if anything?",She is not holding anything.,No parece estar sosteniendo nada.,Elle ne tient rien.
Is the image taken during daytime or nighttime?,It appears to be nighttime.,Fue tomada de noche.,Elle a été prise la nuit.
Are there any visible decorations in the room?,No prominent decorations are visible in the room.,No hay decoraciones visibles en la habitación.,"Non, il n’y a pas de décorations visibles."
What floor material is visible in the room?,The floor is wooden.,El piso es de madera.,Le sol est en bois.
What is the position of the man on the couch?,He is sitting with his legs crossed.,Está sentado y sosteniendo a un niño.,Il est assis.
Is there a visible TV or gaming screen in the photo?,No TV or gaming screen is visible.,No hay una pantalla visible.,"Non, un écran n’est pas visible."
What is the girl in pink standing on?,She is standing on the wooden floor.,Está parada en el piso.,Elle est debout sur le sol.
How many people are interacting with each other in the image?,There are no clear interactions occurring between the people.,No parece haber interacción directa entre las personas.,Deux personnes interagissent (l’homme et la petite fille).
What objects can be seen on the floor?,A motion controller cord and a piece of fabric or blanket.,Se puede ver un cable en el piso.,On peut voir une couverture et une télécommande.
What is the child in red in the background doing?,,,
How many windows are visible in the background?,,,
Are there any lights or reflections visible through the windows?,,,
What type of object is next to the couch on the left?,,,
What color is the shirt of the man on the couch?,,,
