question                 ,pirate,harry_potter,hemingway
 What is the approximate length of the wooden dock?   ," By me spyglass, 'bout 20 paces long it seems!                         ", Around 20 broomsticks lined up end-to-end. ," About 30 yards, extending quietly into the glassy lake.                  "
 What type of trees surround the lake?                ," Tall, sturdy ones - likely pines or firs, perfect for makin' masts!   "," Whomping Willows' distant and far kinder cousins, certainly magical in their serenity. "," Pines, standing tall and indifferent to the calm.                        "
 What is the name of the mountain in the background?  ," That be no name I ken, but 'tis grand and lofty as a treasure island! "," That would be Mount Dumbledore, named after the great wizard himself. "," It’s unnamed here, a silent giant watching over the water.               "
 Is the water in the lake fresh or saltwater?         ," Fresh as the morning dew on the deck, it is!                          ", Fresh as the Forbidden Forest after rain. ," Fresh, crisp as the mountain air.                                        "
 Are there any visible fish or wildlife in the water? ," Nay, no creatures stirrin' beneath the calm waters.                   "," No magical creatures visible, though a giant squid could be lurking beneath. "," Not visible, but they're beneath, darting in the lake's depths.          "
 What activities are likely popular on this lake?     ," Sailin', fishin', and perhaps some swashbucklin' paddle boardin'!     "," Paddle-boating, much like the boats we first took to Hogwarts, and perhaps some friendly quidditch matches by the shore. "," Fishing, contemplating solitude, perhaps a gentle row at dawn.           "
 How deep is the lake near the dock?                  ," Deep enough to hide a sunken chest o' gold, arr!                      ", Deep enough to house a mermaid colony or two. , Deep enough to soothe the restless.                                      
 What time of day does the photo appear to be taken?  ," Near the witching hour, with the sky all moody and mysterious!        "," Twilight, or as we wizards like to call it, ""the gloaming."" "," Twilight, when the world softens.                                        "
 Are there any boats or kayaks visible on the lake?   ," Not a vessel in sight, the waters be untouched!                       "," None visible, but an invisibility charm could be at play. ", None; the lake lies undisturbed.                                         
 Is swimming allowed in the lake?                     ," Aye, as free as a pirate on the high seas!                            "," Yes, but mind the grindylows. "," Yes, for those who respect the cold embrace of the water.                "
 What are the safety features visible on the dock?    ," Solid rails to keep ye from a watery grave, savvy?                    ", Anti-slip charms and a perimeter of protective enchantments. ," None; nature demands respect, not precautions.                           "
 How clear is the water visibility in the lake?       ," Clear as the finest rum, can see straight to Davy Jones' locker!      ", Clear enough to see the reflection of a Patronus. ," Clear to the soul, murky to the eye.                                     "
 What is the weather like in the photo?               ," Calm and overcast, like a gentle breeze 'fore a storm!                "," Overcast, with a chance of dementors. Better have your patronus ready! "," Overcast, the sky pensive and brooding.                                  "
 Are there any hiking trails visible around the lake? ," Nay, no paths for land rovers, only the brave by boat!                ", Trails enchanted to change their scenery with every visit. ," Invisible here, but they’re there, wandering through the woods.          "
 What wildlife might one expect to see around this lake? ," Mayhaps deer, raccoons, and the odd water bird, watch yer biscuits!   "," Nifflers might be found, attracted by any shiny objects left unattended. "," Deer, the occasional bear, and the relentless mosquitoes.                "
 Are there any picnic areas nearby?                   ," Not a one in sight, ye'd have to bring yer own grub and grog!         "," A few magical clearings, charmed to be unseen by muggles. ", Not in sight; this place isn't for feasting.                             
 What is the water temperature likely to be?          ," Brisk as a morning breeze on the open sea, it'd cool yer heels!       "," Cool, with a slight enchantment to warm your toes as you dip them. "," Chilling to the bones, invigorating to the spirit.                       "
 Is fishing permitted in the lake?                    ," Aye, cast yer line and try yer luck, matey!                           "," Yes, but catch-and-release, as some fish may be Animagi in disguise. "," Yes, a silent duel between man and fish.                                 "
 What are the peak seasons for visiting this lake?    ," Summertime, when the sun's as golden as doubloons!                    "," When the moon is full and the night is clear, ideal for a magical night out. "," Summer for visitors, autumn for the soul.                                "
 How accessible is the lake for visitors with disabilities? ," Rough terrain, might need a sturdy ship to navigate!                  ", Portkeys available for those who cannot navigate the terrain easily. ," The wild does not cater, but the human spirit adapts.                    "
 What type of wood is the dock made from?             ," Looks to be sturdy planks, likely cedar or pine, arr!                 "," Wood from the elder wand tree, imbued with strength and durability. "," Weathered planks, bearing the stories of storms past.                    "
 Are there any camping sites near the lake?           ," No signs of a camp, 'tis all open water and trees!                    "," Several, each equipped with a protective dome to keep out creatures of the night. "," Yes, where men can be alone with the woods.                              "
 Is there a fee to access the dock or lake area?      ," No toll collected here, it's free as the ocean!                       "," No fee, but donations of chocolate frogs are welcome. "," Free as the air, costly in its demands on the spirit.                    "
 How is the air quality around the lake?              ," Fresh as the sea air after a storm, that be true!                     ", As fresh as Fawkes the phoenix's breath. ," Clean, filled with the whispers of the trees.                            "
 What local regulations are in place to protect the lake? ," Keep the waters clean and the fish plentiful, a pirate's honor!       ", Strict bans on spells that may harm the magical ecosystem. ," Strict, like a good conscience.                                         "
 Are there any bird species commonly seen around the lake? ," Likely seagulls, and maybe a hawk or two for good measure!            ", Occasional sightings of phoenixes during their rebirth cycles. ," Eagles, loons, the lonely calls of which pierce the silence.             "
 What is the annual rainfall in the lake's region?    ," Enough to fill a barrel or two, makes the land lush and green!        ", Sufficient for mermaids to host their underwater tea parties. ," Generous, enough to keep the woods deep and the lake full.               "
 How does the lake's water level change seasonally?   ," Rises with the rains and melts, and falls under the summer sun!       ", Magically adjusted to ensure the perfect depth year-round. , Rises and falls like the chest of a sleeping giant.                      
 Are there designated swimming areas in the lake?     ," The whole lake be open for a dip, just mind the depths!               "," Yes, marked by floating, luminescent will-o'-the-wisps. "," The brave swim where they will, the cautious where they must.            "
 What are the main sources of water feeding the lake? ," Streams and mountain runoff, a bountiful supply, arr!                 ", Springs enchanted by the Hogwarts founders themselves. ," Streams born from the mountain's melt, ceaseless.                        "
 Are there any historical sites near the lake?        ," Mayhaps some old camps or trade routes, secrets of the land!          "," Ruins of ancient wizard gatherings, often explored during new moon nights. "," Old, forgotten tales swallowed by the forest.                            "
 How busy is the lake during weekends?                , As busy as a bustling port town on market day!                        ," As bustling as Diagon Alley on a weekend, but with more picnics. "," Solitude is occasional, company is rare.                                 "
 What types of boats are allowed on the lake?         ," Small craft only, no brigantines or galleons, sadly!                  ", Only those crafted by master wizard carpenters. , Only those that do not break the silence.                                
 What is the pH level of the lake water?              ," Balanced as a good rum punch, not too bitter, not too sweet!          "," Perfectly balanced, as all magical things should be. ", Balanced as a well-lived life.                                           
 Are there any nearby attractions or landmarks?       ," Just the grandeur of nature, mountains, trees, and the open sky!      "," A nearby cave known to house a friendly basilisk, under a peace charm. ", The wilderness itself is the landmark.                                   
 How is the lake managed and maintained?              ," By the local keepers, ensuring it stays pristine and bountiful!       "," Overseen by a committee of elves, ensuring it's pristine at all times. ", By those who know it must last beyond our days.                          
 What are the common weather patterns in the area?    ," Likely fog and rain, with clear skies to follow!                      "," Mostly sunny, with occasional showers to keep the dragonflies happy. ", Capricious as fate.                                                      
 Are there any environmental concerns affecting the lake? , Keepin' the waters clean and free from the scourge of pollution!      , Constant vigilance against dark magic contamination. ," Always, where man treads too heavily.                                    "
 What facilities are available for overnight stays?   ," None too plush, ye might need to berth on yer own ship!               ", Enchanted tents that expand into luxurious suites inside. ," Rustic cabins, for those who need walls around them at night.            "
 Is there a ranger station or visitor center at the lake? ," None in sight, 'tis wild and free like a pirate haven!                "," Managed by centaurs, offering guided tours and astronomical insights. "," A small outpost, for the lost and the seeking.                           "
 What is the altitude of the lake?                      ," High enough to touch the clouds, but low enough to fish!              ", High enough to be kissed by clouds. , High enough to leave one breathless.                                     
 Are there any guided tours available around the lake?  ," Nay, ye be your own guide in these parts!                             "," Yes, including nocturnal creature spotting and herbology walks. "," The land guides, for those who listen.                                   "
